Model,RMSE,MAE,MAPE,R2
Bagging,51.38890409231707,28.577915077989648,1.6543635841364888,0.9683573450228674
AdaBoost,53.11809955522446,32.494891316704944,1.9786177525812205,0.9661920170465454
Extra Trees,64.08043447315812,36.307389890157374,2.0744656385667746,0.9507977346419278
SVR,120.2203432013735,68.04255257159183,3.796271736396395,0.8268230324866717
